# creator	floor_sol	budget_sol	cu_price	min_depth_sol	max_depth_sol
# floors in the DB/replay convention (create fee excluded)
# budget and cu copied from his own decoded instructions
EBx24uAPtaS1SvHwRhKEktSgzaXdiVEyHuSVpAMVwrcD	3.9506	1.00	36000000	5	18
8NJ7Ujpji8uMF2675mqaTSEm2DCbfJA7fiRKtiaqkaLN	3.0000	0.50	5500000	5	18
FFdBLYqL9rs5fUT38ArE8GV2L3BziEgG5LJUu6sshfkF	3.0000	0.80	60000000	5	18
GpTXmkdvrTajqkzX1fBmC4BUjSboF9dHgfnqPqj8WAc4	5.0000	1.00	125000000	5	18
DC99qH3jXiq5pPWQd6PjjJcCxTV593s58CLPxWGpEywt	3.0000	1.25	20000000	5	18
8ZN71XTdVo8yRovnGLmNgW3Tgniw6A4J3JGLvPD686FP	4.0000	1.05	32000000	5	18
AV7PjXHL5JXZ1YoYRoN9Dsstg1x2UciBupMCXcJP8gUz	6.0000	0.75	50000000	5	18
5FqUo9aBjsp7QeeyN6Vi2ZmF2fjS4H5EU7wnAQwPy17z	5.0000	0.80	45000000	5	18
5RQ1UWATaMjjXC34BW6UusEUdEoCuNRECBW8nnHPiCGH	3.0000	0.30	8000000	5	18
ETroz4qu4C6E9HJvYx8G3RjwwhtffSLaBy3yPjYm8THL	2.0000	0.65	0	5	18
timeworn2X1EwMLSzeVhdVTbVSzSCKuibKd2kQ2Lsyn	3.0000	1.00	64000000	5	18
F5XvCe4233m6mHRbkkq2ZsFvqrPAnRrDBExeQy2fwagQ	3.0000	1.15	72000000	5	18
dtrzJPj7yDdvm6eRqBAgxsK2sMJeD9HhBEBB3XMedXy	4.9529	1.50	120000000	5	18
9aztChMYbsF5HRFG2ECkjfEdHHZChB1b3tRHQ2TPgKjv	5.0000	2.00	150000000	5	18
ENskGQev2bXPjaCYPV9bUcPLv3635Y18BWzLN95x4soC	3.1605	1.15	60000000	5	18
B4tWmhfCBLvRYugPcu6bgP36DVweLc457pywc1a3QJju	2.0000	1.00	10000000	5	18
7naFFwuEJWeWwWYQUkgAWHsxYKg3KctEuUj42JdAMidP	4.0000	0.95	45000000	5	18
DWHEZ8JnfGtud25Gjhn3MndpTMshNEd12WMu2ciCa7ri	2.0000	1.00	60000000	5	18
Ce8xX6ixypbvDauod3mTGwxowbDpqurpha3rqANpVaTM	2.9630	1.15	52000000	5	18
8i5U2uNBEuTc4zskYP14zbebDg2RSwrrG8REhEnJb97K	2.9630	0.75	32000000	5	18
FaBGrHWjcJ8vKnbgUtsdpZjvF7YAAajtQTWmmEHiKtQr	3.6049	1.50	225000000	5	18
EdNcBDUFQaTxuaaiFfp5Ss4EanvuXtpGV9ZZvFFVRayd	2.4691	1.20	60000000	5	18
FciWQ5qfCFcdtqRUh9kvzbWr1WfuXAJgzh6FrmRxxVLz	5.0000	0.60	20000000	5	18
8HeDT75s5g4CtCimH5B5nySqCiQhtWii8UnZhxBtFo38	3.3000	1.35	119000000	5	18
WB6dqX3niseHgaMNMiWBkmqQ5heAMGSKxKkdA2WNak3	5.0000	0.55	20000000	5	18
CBmFWJS37SzCXVcJyGjhQLd9GD6y8LP9UEy2i6MQqak8	2.9632	1.25	100000000	5	18
GeUnv1jmtviRbR7Gu1JnXSGkUMUgFVBHuEVQVpTaUX1W	4.0000	0.40	6000000	5	18
23QuARJvRDKYy7c9QM8NCVZJSBKy3EALUkzSvf5Gft3U	2.9630	0.55	10000000	5	18
FwUB3rBAUcG9gx8dYXsqwHTsAYzqB6TzBfR4htp67DgT	0.1000	0.76	10009000	5	18
3eN9mkANNFznz3DarFM2CNXyFVUDeLA6qCuCRKwtxecr	3.0000	1.15	50000000	5	18
3Ru41s7pJRYQuShPFKGMqcX8SmdJU5S4d2zfnv4BQVjN	2.4691	0.55	20000000	5	18
AxqXBbPab4iRUMpUiCxKmkawUk77TR5mRVsTFDiUTsh	4.9383	0.85	20000000	5	18
CxxcsDAobcZPeYgWUGfuXb4Via5QNm9xhdU96dUTKsfR	2.5000	0.85	40000000	5	18
E24c5R7yHWHmPg1KyBrqTedjgcdRKcj28uwvLBbwi8hv	0.1383	0.75	20000000	5	18
FFPmqVLMj9TNbQXcrXyevcM3pxGaK4ApaAT4oLq2b3S7	3.0000	0.65	6000000	5	18
GuAKE5EgK7Au7EARH81oHrWjJvvg2Axf9AVNMpt7yEzH	4.9383	1.40	78000000	5	18
6Fy8LxPMdETrkaU1xMF3uvz4w6ofJC5dHsk1LqAPUP5r	3.0000	1.00	30000000	5	18
75GMVrr2xfgAeybuNg1VMHqFE3GTFJLzEHo6xC4MwUzF	3.0000	1.00	51000000	5	18
8EmAjS1VMH37ftj5UpgRR8HJSms9g5uezF2NqsA2BtT3	1.9756	0.75	20000000	5	18
CXoUJHtBGnuNR6zJ3zm8nTnNzCwXxFViXh29d1kTJQmK	2.4000	0.80	70000000	5	18
HXuuXP9ZNn7WGaKKqiAcX5473TeyXb91afB7mKkRvCF8	2.0000	0.80	40000000	5	18
