# wallet	action  (regenerated by export_tables.py)
2Micro9qwqRCWKnaam7myLN4WspkC5Dj7M2CVpG2qeA7	follow_symbiont
2e7HgJyzpbJxVvLEiWXPd34hnULfu8rU3gfLUtKXXu6r	follow_symbiont
3QNKcR8g3dPFNNepFecAxjPLFdzC1cMJkSGuNptPU2UU	follow_symbiont
3ixtZXbbJjNEq89GbeFu8vJMGDMNSePofNEf5kecVhsA	follow_symbiont
5Eb5rURZMLaSkxjczUzmDujt6F5ytbUsQfKA2it4G1sA	follow_symbiont
5fMFE7rb8wSgfuq2GwVu4PDVhYQHKX1zHvY53SCuCBf6	follow_symbiont
6Siu5R8vGtcUwryuEyFJhKdFzHa2P2ogBK719Bmqpwsc	follow_symbiont
74Gku52qWEn6ywACYHJTMnQoWBrTcxvfoQ5Jym6t1SZF	follow_symbiont
7SLgmAQ9y3Zk31UcyJqJS6o2tKgPf7Ta5XaovT6x2Hac	follow_symbiont
7k4R3Gnj9uVjVSGk8iFgrUidPSQy16BuxM23yUNMKwF3	follow_symbiont
9J3w8shvgrEkN4MT6FfqGoULDJuoLu4EMD6oC9qSZSw2	follow_symbiont
9Jb67GEEMAJ4eX4U4hGkPUeGV9Dpv9gdUyM2p1T1vJRo	follow_symbiont
9YzsADihJcvGx4cgnZfHxQ1jM13dgLNV8CB21iiby9yo	follow_symbiont
9ygmSiDMic7iW3vT7mYu4L9VhY2aBWERJFou4UXxT4Eb	follow_symbiont
ApeEifQPXuLFuMWU1HaKmKPZGfiXuLNG587iQDeu9s1g	follow_symbiont
B8zn7SyWypomG5yMaep5DL2DUMKsyJCjCkKvd1AcLbxx	follow_symbiont
BddzswyZNG5H59UeZQfJ8iqUUEHmCLEWex4AdDeXHGKm	follow_symbiont
CDmFtQfpLgbeUzD34wtMVHtpF5bPt4FCs7xFCqh2KnAf	follow_symbiont
CrVtHgzg1tyAP1uCkFmPJ29cmXFkGw3qx1Uy5QpKSmrh	follow_symbiont
Cu1cXMvtXdEafDoPjtvjxgvyXHAK7Yh8AFvuKUVDy6yG	follow_symbiont
DN9LKrJffsCiTfFSKQR9CzBN6xNRot4SesZd9Fp34YHE	follow_symbiont
E7icimjJJLdkct9ty72shtyEBA7XD6YLY5wy48wk6TmS	follow_symbiont
F1SfoYUaeJ7qSPvuPt5nFdyN7iW9vhV4mpzMK8CoeGRA	follow_symbiont
G3fk9NykrzmcXr4YYmToftFayrC6Y6ACiuc6WCKq3f8B	follow_symbiont
GBWjSsmw9MLbKh5UvarGA5CTdCPNujAh4RpQZkJRteu3	follow_symbiont
GMKNH8xEAfpMzk4oChsv3iLv6mAw8ksZQd6tbvLMuvLr	follow_symbiont
Gfag6VDrSZSVzqVEoWrUuVs44uH9b6uAnrNsfEo44giJ	follow_symbiont
HUiFoZcPSonoJnf3KoVWdGGjXkkkyoSYYQv59j8uUjRD	follow_symbiont
M9VtmEkbpxnaUv7bsAYmCy21nHyv1CwE1AwfVo9SKZK	follow_symbiont
kYd4fszdY4LBTPwjCCzgydPV8tJt3MdFSfytbz1RszZ	follow_symbiont
rzyTyP3gNnAwmkutS1FY7Wv2RdSFzZi5BbzmU4Cw73t	follow_symbiont
uYvywGdVz4eijX2FYwpzgrA7fxe16K24Fcc9szAy2Z5	follow_symbiont
xHT3HtNsBUoGdUvZZErujef57PtkD95fDRVmQFPzeqz	follow_symbiont
3bTYzG94soZcUPD3qX3JGv6AY5Vp1dhGi9GxorbbzH7s	follow_whale
4BHBSZA96XCaepYLvmteV6wLqKTqJPyfkME941X5PqHP	follow_whale
4EQpdsiQYnoLuSYnqhmZfectShcxVgG8T9CWvjedjVtJ	follow_whale
68DYn5Xfo3ZneMg6pdVpu3eNzL1M7K4dDHACKaBmqkaX	follow_whale
AsuxyTCkzAUonN6vaMgcC9BT9S8zuqypiJdZmdrwwWt7	follow_whale
BRTAJVrRwh5oPorL8eAWVZGEXhFPcV8umWL59uaiTZDt	follow_whale
BuoMsaN2G81GbfUfYRTJ3geHH7MfEcMz2AUcWp1FZfGn	follow_whale
CqHAAwRg4yfGFy4Qp8WC1wUPCxxYYDAAm4LaBsD5BhHU	follow_whale
EBWkQGHPc4teggp5ok1oUmoGnbyx4W4bSYTo2ynMVw2z	follow_whale
EUukvcYYyyhujmdBBpzKEjHSfjpahjNP5W3rNtgMrncK	follow_whale
Ecwzx5QjW6zzycpEgDZWehYn738bHsaCJAA73WaZCJwp	follow_whale
Ej3Dci1yuxiQ913u6d7hdiJZcdZ6mFDjBDmwMnE3iTZQ	follow_whale
GN4zNhFzEAKw7nfU5sz4qLwMgYCLCzhUVt8XYMyvHamm	follow_whale
on2zBrM8FSfs4SqLpLrxzZKFb3tELhNm9S5oehs4yeK	follow_whale
24678QKx2Dy8ZCw6Ra8o9DeTqPLL5GR9ZQKxt5FddHmq	avoid
29TSHrerQzp1ALBWQ6YYwVr3ADbCTU5Y5istXxneQvrz	avoid
2BZR7HedSaCNpxBaJcwrfpuQaeUHwsbq1P38H3bEYohb	avoid
2CQgjcdNEo7WtbQLpJTAVcC3Ga61pNvRDTgP5grzctFG	avoid
2WYA8aPFEvgvMX5Y8Tui7AwDJah815z2wYDnFeAhpd1y	avoid
2mqrindMAjJEQPLhroYWyiYPo5h9iAsahfdd4QtsjwdY	avoid
2xjk3uLLtLHwxPJ5k1pJdX9UjR4bQhcoNfA7gqi1V5Xg	avoid
4yFAz7dp5WwuZs3vbWKedbRiUmSFxTVGCdsLAxfEQrG3	avoid
5i4NsKiUx6DhKDRXWiWifqiLXVL7MDuRMXVhgU2grZN6	avoid
6GofQwh2VPeFtDQebwAWfD1ZB1b7L9oB8UA4UUL7QQ3V	avoid
7YP2uswqQJxtAV9JW3H4nwyVxgpFKVLVSMjfuvsTepc8	avoid
81B8QDEe2VzbUpzcSnKq8ptzXC21t8U4BvDThwxwqxo6	avoid
85YwZaQa8SATizDxCwZ8z5EpdpLvy5Ub9zp1a3TkaHrL	avoid
